Date,ID,Name,Neo Reference ID,NASA JPL URL,Absolute Magnitude H,Estimated Diameter Min (km),Estimated Diameter Max (km),Is Potentially Hazardous Asteroid,Close Approach Date Full,Relative Velocity (km/h),Miss Distance (astronomical units),Miss Distance (kilometers),Orbiting Body
2023-02-12,2141495,141495 (2002 EZ11),2141495,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2141495,18.47,0.5377184977,1.2023751136,True,2023-Feb-12 05:05,81024.1418893536,0.1746177711,26122446.620707557,Earth
2023-02-12,2302311,302311 (2002 AA),2302311,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2302311,19.39,0.3520099801,0.7871182442,False,2023-Feb-12 16:58,33485.8191508977,0.4285745215,64113835.552669205,Earth
2023-02-12,3288854,(2005 QB5),3288854,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3288854,23.68,0.0488151892,0.1091540813,False,2023-Feb-12 09:41,80442.2174876154,0.4522420588,67654448.720894756,Earth
2023-02-12,3445621,(2009 CS1),3445621,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3445621,21.12,0.1586919792,0.3548460529,False,2023-Feb-12 05:04,29404.1080192624,0.4325887383,64714353.835667421,Earth
2023-02-12,3596685,(2012 BO77),3596685,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3596685,22.3,0.0921626549,0.2060819612,False,2023-Feb-12 13:56,51180.5026907359,0.1872449828,28011450.595066636,Earth
2023-02-12,3626615,(2013 CW83),3626615,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3626615,22.71,0.0763053479,0.1706239449,False,2023-Feb-12 10:48,66663.563386801,0.2095747086,31351930.012430682,Earth
2023-02-12,3645126,(2013 OW2),3645126,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3645126,21.27,0.1480999721,0.331161605,False,2023-Feb-12 18:08,45125.3223398369,0.1616022389,24175350.726671143,Earth
2023-02-12,3840690,(2019 FR),3840690,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3840690,24.0,0.0421264611,0.0941976306,False,2023-Feb-12 14:54,85700.221402046,0.4799699495,71802482.109207565,Earth
2023-02-12,3892166,(2019 UP13),3892166,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3892166,23.45,0.0542693946,0.1213500554,False,2023-Feb-12 09:36,78275.4069898152,0.3002843563,44921900.096801081,Earth
2023-02-12,3959225,(2019 YE4),3959225,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3959225,22.64,0.0788052183,0.1762138252,False,2023-Feb-12 01:42,22836.1412222928,0.175741565,26290563.79446655,Earth
2023-02-12,54102026,(2020 YW3),54102026,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54102026,25.73,0.0189913123,0.0424658654,False,2023-Feb-12 10:53,37554.0296510642,0.3798090195,56818620.323988465,Earth
2023-02-12,54104278,(2021 AB1),54104278,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54104278,26.7,0.0121494041,0.0271668934,False,2023-Feb-12 12:23,79046.5612804517,0.3445371513,51542023.970347731,Earth
2023-02-12,54111265,(2021 CF4),54111265,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54111265,21.66,0.1237527837,0.2767196367,True,2023-Feb-12 22:44,143984.5838627324,0.468327929,70060860.63991123,Earth
2023-02-12,54316688,(2022 UM),54316688,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54316688,26.9,0.0110803882,0.0247765013,False,2023-Feb-12 10:08,22916.6855080421,0.367581851,54989461.96025737,Earth
2023-02-12,54339174,(2023 AJ2),54339174,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54339174,24.6,0.0319561887,0.0714562102,False,2023-Feb-12 01:07,20321.0912654081,0.1109866884,16603372.182993708,Earth
2023-02-12,54341483,(2023 CL1),54341483,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54341483,27.45,0.0086011194,0.0192326877,False,2023-Feb-12 19:56,39257.0197450405,0.0057539085,860772.455774895,Earth
2023-02-12,54341550,(2023 CK2),54341550,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54341550,22.68,0.077366861,0.1729975604,False,2023-Feb-12 10:03,73991.712981087,0.0400425367,5990278.199716829,Earth
2023-02-12,54341596,(2023 CD3),54341596,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54341596,23.51,0.0527904029,0.1180429295,False,2023-Feb-12 20:20,81357.5420466948,0.1022536855,15296933.550449885,Earth
2023-02-12,54341632,(2023 CM3),54341632,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54341632,28.44,0.0054519891,0.0121910182,False,2023-Feb-12 00:00,19954.1975487782,0.0056354022,843044.165713314,Earth
2023-02-12,54341643,(2023 CR3),54341643,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54341643,25.8,0.0183888672,0.0411187571,False,2023-Feb-12 06:28,23221.7652041845,0.0371223675,5553427.107357225,Earth
2023-02-12,54342527,(2023 DO1),54342527,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54342527,24.06,0.040978398,0.0916304836,False,2023-Feb-12 13:19,21411.8187188287,0.1414109139,21154771.514193393,Earth
2023-02-12,54373925,(2023 MT2),54373925,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54373925,23.45,0.0542693946,0.1213500554,False,2023-Feb-12 02:00,23073.5226283702,0.4011812082,60015854.230746534,Earth
2023-02-12,54392658,(2023 TC7),54392658,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54392658,26.89,0.011131533,0.0248908644,False,2023-Feb-12 03:04,22816.0747255212,0.2252397128,33695381.274291736,Earth
2023-02-11,2138971,138971 (2001 CB21),2138971,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2138971,18.53,0.5230641758,1.1696070537,True,2023-Feb-11 21:44,26249.0572086946,0.2814694326,42107227.587068562,Earth
2023-02-11,2264308,264308 (1999 NA5),2264308,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2264308,20.45,0.2160503512,0.4831032718,False,2023-Feb-11 06:55,16296.7231442584,0.4010049842,59989491.495703654,Earth
2023-02-11,3625708,(2013 BB74),3625708,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3625708,26.3,0.0146067964,0.0326617897,False,2023-Feb-11 09:29,67352.360128844,0.3750354808,56104509.102105896,Earth
2023-02-11,3710246,(2015 CA14),3710246,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3710246,22.82,0.0725362295,0.1621959399,False,2023-Feb-11 14:44,64841.0962965286,0.3014082267,45090028.714797129,Earth
2023-02-11,3712420,(2015 DU180),3712420,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3712420,20.93,0.1732028271,0.3872932954,True,2023-Feb-11 01:18,112840.49170341,0.1593419406,23837214.915426522,Earth
2023-02-11,3724056,(2015 NG13),3724056,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3724056,24.9,0.0278326768,0.0622357573,False,2023-Feb-11 05:19,35414.7361127224,0.3161218867,47291160.910701329,Earth
2023-02-11,3753800,(2016 LE9),3753800,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3753800,17.73,0.7560577624,1.6905965516,False,2023-Feb-11 18:16,105799.5605754511,0.3260624963,48778254.933362881,Earth
2023-02-11,3766360,(2017 AE5),3766360,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3766360,22.17,0.0978486812,0.2187963027,False,2023-Feb-11 22:38,25717.7588779266,0.0580475487,8683789.644241269,Earth
2023-02-11,3827322,(2018 RF2),3827322,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3827322,28.2,0.0060891262,0.0136157002,False,2023-Feb-11 01:29,35979.3575332001,0.2659128156,39779990.819462772,Earth
